customer_id,email_alerts,sms_alerts,push_notifications,large_transaction_threshold,low_balance_threshold,preferred_language,preferred_contact_method
CUST000001,False,True,False,500,100,english,sms
CUST000002,False,True,False,500,100,english,sms
CUST000003,False,True,True,500,100,english,email
CUST000004,False,True,False,500,100,english,sms
CUST000005,True,False,True,500,100,english,email
CUST000006,False,False,False,500,100,english,push
CUST000007,True,False,True,500,100,english,sms
CUST000008,True,False,True,500,100,english,push
CUST000009,True,False,False,500,100,english,push
CUST000010,True,True,True,500,100,english,email
CUST000011,False,True,False,500,100,english,push
CUST000012,True,True,False,500,100,english,push
CUST000013,False,True,True,500,100,english,sms
CUST000014,True,False,False,500,100,english,email
CUST000015,True,True,False,500,100,english,push
CUST000016,True,True,False,500,100,english,email
CUST000017,True,False,False,500,100,english,sms
CUST000018,False,True,True,500,100,english,email
CUST000019,True,True,False,500,100,english,email
CUST000020,False,False,False,500,100,english,email
CUST000021,False,False,True,500,100,english,sms
CUST000022,True,False,True,500,100,english,sms
CUST000023,False,False,True,500,100,english,push
CUST000024,False,True,False,500,100,english,email
CUST000025,False,True,False,500,100,english,push
CUST000026,True,True,True,500,100,english,email
CUST000027,False,True,False,500,100,english,sms
CUST000028,False,True,True,500,100,english,sms
CUST000029,False,True,False,500,100,english,email
CUST000030,False,False,True,500,100,english,sms
CUST000031,True,False,False,500,100,english,sms
CUST000032,False,True,True,500,100,english,sms
CUST000033,True,True,True,500,100,english,push
CUST000034,False,True,True,500,100,english,sms
CUST000035,True,False,True,500,100,english,email
CUST000036,True,False,False,500,100,english,sms
CUST000037,False,False,False,500,100,english,push
CUST000038,True,False,True,500,100,english,email
CUST000039,True,True,False,500,100,english,push
CUST000040,True,True,False,500,100,english,email
CUST000041,True,True,True,500,100,english,email
CUST000042,False,True,True,500,100,english,push
CUST000043,True,False,False,500,100,english,push
CUST000044,True,True,False,500,100,english,sms
CUST000045,True,True,False,500,100,english,sms
CUST000046,True,True,True,500,100,english,sms
CUST000047,True,False,True,500,100,english,push
CUST000048,True,False,True,500,100,english,push
CUST000049,True,False,False,500,100,english,sms
CUST000050,False,True,False,500,100,english,email
CUST000051,True,False,False,500,100,english,push
CUST000052,True,True,False,500,100,english,sms
CUST000053,False,True,True,500,100,english,sms
CUST000054,False,True,True,500,100,english,sms
CUST000055,False,True,False,500,100,english,email
CUST000056,True,True,True,500,100,english,sms
CUST000057,False,False,True,500,100,english,push
CUST000058,True,False,True,500,100,english,sms
CUST000059,False,False,True,500,100,english,sms
CUST000060,True,True,True,500,100,english,push
CUST000061,False,False,True,500,100,english,push
CUST000062,True,True,True,500,100,english,sms
CUST000063,False,True,False,500,100,english,sms
CUST000064,True,False,True,500,100,english,sms
CUST000065,True,True,False,500,100,english,email
CUST000066,False,False,True,500,100,english,sms
CUST000067,True,True,False,500,100,english,sms
CUST000068,False,True,True,500,100,english,sms
CUST000069,True,False,True,500,100,english,email
CUST000070,True,True,True,500,100,english,email
CUST000071,False,False,False,500,100,english,email
CUST000072,True,True,False,500,100,english,push
CUST000073,False,True,False,500,100,english,push
CUST000074,True,True,False,500,100,english,email
CUST000075,True,False,True,500,100,english,sms
CUST000076,False,True,False,500,100,english,email
CUST000077,False,True,True,500,100,english,sms
CUST000078,False,False,False,500,100,english,sms
CUST000079,True,False,False,500,100,english,sms
CUST000080,False,True,True,500,100,english,sms
CUST000081,False,False,True,500,100,english,sms
CUST000082,True,True,False,500,100,english,push
CUST000083,True,False,True,500,100,english,email
CUST000084,True,True,True,500,100,english,sms
CUST000085,False,False,False,500,100,english,sms
CUST000086,True,True,False,500,100,english,email
CUST000087,False,True,False,500,100,english,sms
CUST000088,True,False,False,500,100,english,push
CUST000089,True,False,True,500,100,english,email
CUST000090,True,True,True,500,100,english,push
CUST000091,False,False,False,500,100,english,email
CUST000092,False,True,True,500,100,english,push
CUST000093,False,False,False,500,100,english,push
CUST000094,True,False,False,500,100,english,push
CUST000095,True,True,True,500,100,english,email
CUST000096,True,False,False,500,100,english,push
CUST000097,False,True,False,500,100,english,sms
CUST000098,True,False,False,500,100,english,sms
CUST000099,True,False,True,500,100,english,email
CUST000100,False,False,True,500,100,english,sms
CUST000101,True,True,True,500,100,english,sms
CUST000102,True,True,False,500,100,english,push
CUST000103,False,True,True,500,100,english,push
CUST000104,False,True,True,500,100,english,push
CUST000105,False,False,True,500,100,english,sms
CUST000106,False,True,False,500,100,english,email
CUST000107,True,False,False,500,100,english,email
CUST000108,True,False,True,500,100,english,sms
CUST000109,True,True,False,500,100,english,push
CUST000110,False,False,False,500,100,english,email
CUST000111,False,True,True,500,100,english,sms
CUST000112,True,True,False,500,100,english,email
CUST000113,False,True,False,500,100,english,sms
CUST000114,True,False,False,500,100,english,sms
CUST000115,True,True,False,500,100,english,email
CUST000116,False,False,False,500,100,english,push
CUST000117,True,False,False,500,100,english,email
CUST000118,True,False,True,500,100,english,push
CUST000119,False,False,False,500,100,english,sms
CUST000120,False,False,True,500,100,english,push
CUST000121,True,False,True,500,100,english,sms
CUST000122,False,True,True,500,100,english,push
CUST000123,True,False,True,500,100,english,push
CUST000124,False,False,False,500,100,english,push
CUST000125,False,True,False,500,100,english,email
CUST000126,True,False,True,500,100,english,email
CUST000127,False,False,False,500,100,english,push
CUST000128,False,False,True,500,100,english,push
CUST000129,False,True,False,500,100,english,sms
CUST000130,True,True,False,500,100,english,sms
CUST000131,False,False,True,500,100,english,email
CUST000132,True,False,False,500,100,english,sms
CUST000133,False,False,False,500,100,english,email
CUST000134,False,False,False,500,100,english,email
CUST000135,False,True,True,500,100,english,sms
CUST000136,True,True,True,500,100,english,sms
CUST000137,False,True,True,500,100,english,push
CUST000138,False,True,False,500,100,english,push
CUST000139,False,True,True,500,100,english,email
CUST000140,False,True,False,500,100,english,push
CUST000141,False,False,False,500,100,english,email
CUST000142,True,True,True,500,100,english,push
CUST000143,True,True,True,500,100,english,email
CUST000144,True,True,False,500,100,english,email
CUST000145,True,True,False,500,100,english,push
CUST000146,True,True,False,500,100,english,sms
CUST000147,False,False,True,500,100,english,push
CUST000148,False,False,True,500,100,english,push
CUST000149,True,True,False,500,100,english,push
CUST000150,False,True,False,500,100,english,push
CUST000151,False,True,True,500,100,english,sms
CUST000152,False,False,True,500,100,english,push
CUST000153,True,True,True,500,100,english,email
CUST000154,True,True,True,500,100,english,sms
CUST000155,False,True,False,500,100,english,push
CUST000156,True,False,False,500,100,english,push
CUST000157,False,False,True,500,100,english,push
CUST000158,False,True,False,500,100,english,sms
CUST000159,False,False,True,500,100,english,push
CUST000160,False,True,False,500,100,english,push
CUST000161,False,False,True,500,100,english,email
CUST000162,False,False,False,500,100,english,email
CUST000163,True,False,True,500,100,english,push
CUST000164,True,True,False,500,100,english,sms
CUST000165,False,True,True,500,100,english,sms
CUST000166,False,False,True,500,100,english,sms
CUST000167,True,True,False,500,100,english,push
CUST000168,False,False,False,500,100,english,email
CUST000169,False,True,True,500,100,english,sms
CUST000170,False,False,True,500,100,english,email
CUST000171,False,False,True,500,100,english,email
CUST000172,False,True,True,500,100,english,push
CUST000173,True,True,False,500,100,english,sms
CUST000174,True,False,True,500,100,english,email
CUST000175,True,False,True,500,100,english,sms
CUST000176,True,True,True,500,100,english,email
CUST000177,False,False,True,500,100,english,email
CUST000178,True,False,False,500,100,english,push
CUST000179,True,False,False,500,100,english,email
CUST000180,False,False,False,500,100,english,email
CUST000181,False,True,True,500,100,english,email
CUST000182,True,True,False,500,100,english,sms
CUST000183,False,False,True,500,100,english,sms
CUST000184,False,True,True,500,100,english,push
CUST000185,True,False,False,500,100,english,sms
CUST000186,True,False,False,500,100,english,sms
CUST000187,True,False,False,500,100,english,push
CUST000188,False,True,False,500,100,english,email
CUST000189,True,True,True,500,100,english,push
CUST000190,True,True,False,500,100,english,push
CUST000191,True,True,True,500,100,english,sms
CUST000192,True,False,True,500,100,english,email
CUST000193,True,True,True,500,100,english,sms
CUST000194,False,True,True,500,100,english,push
CUST000195,False,False,False,500,100,english,email
CUST000196,False,False,True,500,100,english,sms
CUST000197,False,False,False,500,100,english,email
CUST000198,False,True,False,500,100,english,email
CUST000199,False,True,True,500,100,english,push
CUST000200,True,False,True,500,100,english,email
CUST000201,False,False,False,500,100,english,sms
CUST000202,False,True,True,500,100,english,sms
CUST000203,False,True,False,500,100,english,push
CUST000204,False,True,True,500,100,english,email
CUST000205,False,True,False,500,100,english,sms
CUST000206,True,False,False,500,100,english,sms
CUST000207,True,False,False,500,100,english,email
CUST000208,False,True,False,500,100,english,push
CUST000209,False,False,False,500,100,english,email
CUST000210,False,True,True,500,100,english,sms
CUST000211,False,True,True,500,100,english,sms
CUST000212,False,False,False,500,100,english,push
CUST000213,False,True,True,500,100,english,sms
CUST000214,True,False,True,500,100,english,email
CUST000215,True,False,True,500,100,english,sms
CUST000216,True,True,False,500,100,english,sms
CUST000217,False,True,True,500,100,english,push
CUST000218,True,False,True,500,100,english,email
CUST000219,False,False,False,500,100,english,sms
CUST000220,False,True,True,500,100,english,sms
CUST000221,True,True,False,500,100,english,sms
CUST000222,False,True,True,500,100,english,sms
CUST000223,False,True,True,500,100,english,push
CUST000224,True,True,True,500,100,english,push
CUST000225,False,False,True,500,100,english,email
CUST000226,True,False,True,500,100,english,push
CUST000227,False,False,True,500,100,english,email
CUST000228,True,False,False,500,100,english,email
CUST000229,True,False,True,500,100,english,push
CUST000230,True,True,False,500,100,english,email
CUST000231,False,False,True,500,100,english,sms
CUST000232,True,False,False,500,100,english,email
CUST000233,True,False,False,500,100,english,sms
CUST000234,False,False,True,500,100,english,sms
CUST000235,True,False,True,500,100,english,sms
CUST000236,False,False,True,500,100,english,push
CUST000237,True,False,False,500,100,english,push
CUST000238,True,True,True,500,100,english,push
CUST000239,False,True,False,500,100,english,sms
CUST000240,True,True,True,500,100,english,push
CUST000241,False,False,False,500,100,english,email
CUST000242,False,False,False,500,100,english,sms
CUST000243,False,True,True,500,100,english,sms
CUST000244,True,True,True,500,100,english,email
CUST000245,True,False,True,500,100,english,push
CUST000246,False,True,True,500,100,english,sms
CUST000247,True,True,False,500,100,english,push
CUST000248,True,False,False,500,100,english,sms
CUST000249,False,False,False,500,100,english,push
CUST000250,True,False,True,500,100,english,sms
CUST000251,True,False,True,500,100,english,sms
CUST000252,True,True,True,500,100,english,push
CUST000253,True,False,True,500,100,english,push
CUST000254,False,True,True,500,100,english,push
