account_id,customer_id,account_type,account_number_masked,balance,available_balance,status,opened_date
ACC7AB24C73,CUST000001,savings,****3286,12244.59,12244.59,active,2022-05-16T02:14:53.561057
ACCA0AE476B,CUST000001,credit,****9317,14922.24,14922.24,active,2024-09-23T18:32:00.599673
ACCB19D41F0,CUST000001,savings,****3697,45122.14,45122.14,active,2021-07-23T18:36:06.605309
ACCEAF71DCA,CUST000002,credit,****1452,16557.49,16557.49,active,2017-09-03T02:52:41.321593
ACC137E7DE3,CUST000002,savings,****4388,20788.71,20788.71,active,2015-03-01T06:46:31.544518
ACCF1B6A687,CUST000002,credit,****2395,47456.28,47456.28,active,2022-03-25T16:01:55.345681
ACC294D0D93,CUST000003,savings,****9167,31131.69,31131.69,active,2017-04-23T21:03:32.069732
ACCC3BC9E41,CUST000003,credit,****5295,37450.58,37450.58,active,2016-04-08T07:52:03.404973
ACC566AE3D3,CUST000003,credit,****4349,2739.1,2739.1,active,2020-02-11T20:34:53.203203
ACCA5EAF928,CUST000004,checking,****9843,25384.49,25384.49,active,2023-06-20T06:28:14.942323
ACC885FB986,CUST000004,credit,****6922,31885.0,31885.0,active,2015-05-05T15:32:24.475530
ACCB7B5BFB2,CUST000005,savings,****5480,17440.16,17440.16,active,2025-09-28T00:43:47.503595
ACC72C384E0,CUST000005,credit,****7941,3651.48,3651.48,active,2016-04-20T19:40:41.554857
ACC5E52605D,CUST000006,checking,****5135,30989.04,30989.04,active,2020-06-25T10:43:22.852063
ACC0F3A2268,CUST000007,checking,****6890,39536.05,39536.05,active,2024-10-04T20:11:18.750919
ACC04DDCC1E,CUST000007,savings,****9105,41242.38,41242.38,active,2024-05-20T20:21:53.634640
ACC6349FA50,CUST000007,savings,****4287,398.46,398.46,active,2018-03-31T13:59:48.594558
ACCCA7D0D4F,CUST000008,savings,****2453,8394.37,8394.37,active,2021-10-06T21:13:11.541036
ACCDF3425E1,CUST000008,savings,****9514,42831.21,42831.21,active,2022-03-14T23:34:00.512008
ACC2F6074DB,CUST000009,savings,****5817,13027.96,13027.96,active,2016-04-02T04:55:05.958798
ACCAE14CA43,CUST000009,checking,****7203,25346.47,25346.47,active,2018-08-30T22:28:47.126344
ACCD34F4141,CUST000010,savings,****9335,25715.45,25715.45,active,2016-06-01T23:58:17.294321
ACC3051C565,CUST000010,savings,****6008,16417.3,16417.3,active,2023-09-01T21:05:22.931924
ACCCC5F5DCA,CUST000010,credit,****3725,7343.26,7343.26,active,2023-08-17T19:33:57.811326
ACC3BEF36C1,CUST000011,checking,****7081,42400.53,42400.53,active,2017-10-15T21:54:51.728978
ACC725B9A00,CUST000011,checking,****8687,17194.25,17194.25,active,2016-05-15T00:23:11.741368
ACCB6B6A08F,CUST000011,savings,****6690,49083.79,49083.79,active,2015-06-20T03:22:35.544199
ACCF8B6CBA6,CUST000012,checking,****7579,39623.08,39623.08,active,2020-06-07T11:40:01.003378
ACC27194CDC,CUST000013,checking,****4288,3005.5,3005.5,active,2025-11-12T21:21:25.212899
ACCE31C674C,CUST000013,savings,****1694,41350.51,41350.51,active,2017-08-25T00:10:00.442680
ACCAE2DA8F1,CUST000014,savings,****4893,4339.89,4339.89,active,2023-06-29T01:59:27.996763
ACC99AF8386,CUST000014,credit,****8972,46543.16,46543.16,active,2019-11-13T00:35:46.293594
ACCFEF97E02,CUST000015,checking,****4552,2844.1,2844.1,active,2022-08-04T21:30:52.942295
ACC916F8C41,CUST000015,credit,****7294,1966.56,1966.56,active,2023-08-29T20:50:00.472130
ACC82FED990,CUST000015,checking,****9548,4323.72,4323.72,active,2016-06-28T00:25:34.177849
ACCF9FD9057,CUST000016,checking,****8624,19147.75,19147.75,active,2018-04-22T02:41:45.419443
ACC3501E4C6,CUST000017,savings,****1901,4624.06,4624.06,active,2015-03-07T03:43:41.576626
ACCC3F4FD50,CUST000017,checking,****1479,33530.03,33530.03,active,2025-04-09T11:47:23.797018
ACCA0D0059C,CUST000018,checking,****2117,36889.92,36889.92,active,2024-01-10T17:09:10.818204
ACC1D9D9CC6,CUST000019,savings,****2055,43009.3,43009.3,active,2018-12-21T15:19:49.958432
ACC776F18B4,CUST000019,credit,****9615,5867.53,5867.53,active,2023-06-11T12:30:26.100736
