ticket_id,customer_id,type,status,priority,description,amount_disputed,transaction_id,created_date,last_updated
TICK9E21CE,CUST000007,transaction_dispute,open,medium,Unauthorized charge,309.15,TXNDF6F38F5E1,2025-07-01T21:27:15.224498,2024-11-05T03:20:24.666952
TICK50D7C6,CUST000013,transaction_dispute,open,medium,Unauthorized charge,492.14,TXN1CA6F1D7B7,2024-03-06T06:50:47.648872,2024-11-06T01:37:58.118705
TICKA54B5D,CUST000015,transaction_dispute,open,medium,Unauthorized charge,224.43,TXNF6E4F1417C,2025-08-15T15:16:18.501735,2023-05-26T14:58:19.597806
TICK9FE778,CUST000037,transaction_dispute,open,medium,Unauthorized charge,390.61,TXN924B1A9930,2023-10-03T13:17:00.322252,2025-03-25T13:02:38.625367
TICK1F2A70,CUST000050,transaction_dispute,open,medium,Unauthorized charge,466.74,TXN080B3F9A37,2023-06-11T01:21:13.373710,2024-09-10T22:17:03.164949
TICK8CF533,CUST000083,transaction_dispute,open,medium,Unauthorized charge,31.1,TXNAC56F2CD61,2023-02-02T08:42:42.408602,2023-01-26T05:26:35.669020
TICK0FA7B2,CUST000088,transaction_dispute,open,medium,Unauthorized charge,299.49,TXN4118BB2C53,2025-03-08T08:07:40.201787,2024-02-25T13:42:48.260160
TICK1EEC39,CUST000128,transaction_dispute,open,medium,Unauthorized charge,39.5,TXN6F5B0F0899,2024-08-03T06:16:46.863113,2023-07-20T07:51:12.997084
TICK279E43,CUST000139,transaction_dispute,open,medium,Unauthorized charge,403.7,TXN54883D62F3,2023-04-17T15:05:27.476975,2025-05-24T16:33:43.758509
TICKC37975,CUST000143,transaction_dispute,open,medium,Unauthorized charge,204.48,TXN7AB0927C9A,2023-04-17T09:34:35.807436,2025-11-26T22:18:40.054761
TICKC30A75,CUST000147,transaction_dispute,open,medium,Unauthorized charge,240.38,TXN6AA40A29C2,2024-03-10T03:46:02.332857,2024-01-01T17:34:28.981145
TICK585976,CUST000183,transaction_dispute,open,medium,Unauthorized charge,206.0,TXN5809251E2D,2024-01-27T23:24:38.284374,2024-11-07T04:11:41.487555
TICK610ADF,CUST000191,transaction_dispute,open,medium,Unauthorized charge,420.56,TXNDB4C377B09,2025-09-29T07:05:49.742079,2024-08-18T16:00:32.306914
TICK519E6D,CUST000200,transaction_dispute,open,medium,Unauthorized charge,273.94,TXND2B93D8C7A,2023-11-16T08:13:09.245715,2024-02-25T19:25:16.413033
TICKAA3541,CUST000211,transaction_dispute,open,medium,Unauthorized charge,313.13,TXNAB67551F90,2023-08-08T12:07:17.571560,2023-05-04T13:00:28.408089
TICKA35064,CUST000222,transaction_dispute,open,medium,Unauthorized charge,326.18,TXN68B519AF6F,2025-03-26T14:33:49.867506,2025-04-04T20:34:43.313662
TICK47C444,CUST000254,transaction_dispute,open,medium,Unauthorized charge,88.22,TXN46566A149A,2023-09-09T22:11:28.585473,2024-10-18T01:33:34.327625
TICK675A5C,CUST000278,transaction_dispute,open,medium,Unauthorized charge,204.55,TXN2F69FB0DA7,2024-07-03T11:30:48.304372,2024-02-29T12:14:47.460649
TICK7A22A5,CUST000288,transaction_dispute,open,medium,Unauthorized charge,24.58,TXN54089D0948,2023-12-18T23:38:18.758988,2023-01-07T06:21:46.844209
TICK561842,CUST000316,transaction_dispute,open,medium,Unauthorized charge,424.67,TXN48928A8137,2023-10-28T03:54:50.704373,2025-07-05T14:36:49.913235
TICKBB1FD9,CUST000373,transaction_dispute,open,medium,Unauthorized charge,91.92,TXN988D857C35,2023-03-11T19:11:10.646688,2024-10-20T17:14:42.187845
TICKE3A10F,CUST000399,transaction_dispute,open,medium,Unauthorized charge,365.53,TXN86DF7BC116,2023-01-20T18:12:34.641880,2024-02-26T13:50:02.658359
TICK2D3D5A,CUST000420,transaction_dispute,open,medium,Unauthorized charge,480.34,TXNE8C9469987,2024-04-02T01:45:28.528999,2025-08-07T07:47:53.094821
TICK604B79,CUST000436,transaction_dispute,open,medium,Unauthorized charge,484.89,TXN54FB4E94E2,2025-02-18T19:43:19.623864,2023-09-11T00:26:06.197537
TICK21F022,CUST000441,transaction_dispute,open,medium,Unauthorized charge,218.65,TXND9B1D27268,2024-06-16T15:51:17.366148,2024-07-12T02:08:02.070050
TICKE0782F,CUST000442,transaction_dispute,open,medium,Unauthorized charge,44.68,TXNAB0F2EAE66,2023-02-08T12:51:57.466635,2023-06-16T22:23:26.174350
