transaction_id,account_id,customer_id,type,amount,description,merchant,category,date,status,balance_after,failure_reason
TXNCDFC6B80AD,ACC7AB24C73,CUST000001,debit,-3012.08,Delta Airlines transaction,Delta Airlines,salary,2025-02-07T11:50:16.215687,completed,9232.51,
TXN4D78F8A33C,ACC7AB24C73,CUST000001,credit,2100.5,Airbnb transaction,Airbnb,entertainment,2025-01-18T11:37:57.541093,completed,14345.09,
TXND832FFD655,ACC7AB24C73,CUST000001,credit,3795.24,Apple transaction,Apple,travel,2023-03-20T04:27:28.626207,completed,16039.83,
TXNDBAB71551A,ACC7AB24C73,CUST000001,debit,-1080.49,Uber transaction,Uber,online_shopping,2024-11-26T07:13:45.889747,completed,11164.1,
TXN90423A7721,ACC7AB24C73,CUST000001,debit,-4238.23,Target transaction,Target,online_shopping,2024-08-07T21:11:45.486027,completed,8006.36,
TXN443E5312F1,ACC7AB24C73,CUST000001,debit,-4865.71,Netflix transaction,Netflix,online_shopping,2023-09-26T01:37:52.006726,completed,7378.88,
TXN440B7CC8F2,ACC7AB24C73,CUST000001,credit,3094.51,Uber transaction,Uber,entertainment,2024-05-21T04:11:54.122810,completed,15339.1,
TXN4213B123BE,ACC7AB24C73,CUST000001,debit,-3308.01,Target transaction,Target,online_shopping,2023-10-23T14:13:43.996407,completed,8936.58,
TXN92AD88452F,ACC7AB24C73,CUST000001,credit,1903.73,Airbnb transaction,Airbnb,travel,2025-10-10T07:16:48.721604,completed,14148.32,
TXN00D5710CB6,ACC7AB24C73,CUST000001,debit,-1779.58,Target transaction,Target,travel,2025-01-23T12:53:46.563459,failed,10465.01,insufficient_funds
TXN6629A6CF90,ACC7AB24C73,CUST000001,debit,-3047.61,Apple transaction,Apple,entertainment,2023-08-29T11:29:12.378979,completed,9196.98,
TXN765AD21307,ACC7AB24C73,CUST000001,debit,-1900.38,Delta Airlines transaction,Delta Airlines,salary,2023-12-22T02:09:00.937565,completed,10344.21,
TXN803B131962,ACC7AB24C73,CUST000001,credit,3881.12,Starbucks transaction,Starbucks,online_shopping,2025-04-21T07:16:50.948859,completed,16125.71,
TXN36411746C3,ACC7AB24C73,CUST000001,debit,-335.61,Uber transaction,Uber,salary,2023-03-03T06:02:57.341743,completed,11908.98,
TXN5A465DC973,ACC7AB24C73,CUST000001,debit,-4573.17,Airbnb transaction,Airbnb,salary,2025-06-18T20:58:19.813796,completed,7671.42,
TXN1B9D24292A,ACC7AB24C73,CUST000001,debit,-2809.03,Target transaction,Target,travel,2025-05-31T12:36:13.119363,completed,9435.56,
TXNE338029D3F,ACC7AB24C73,CUST000001,credit,2000.01,Starbucks transaction,Starbucks,salary,2024-03-15T06:36:38.170609,completed,14244.6,
TXN7BB16971AC,ACC7AB24C73,CUST000001,debit,-240.35,Walmart transaction,Walmart,salary,2023-03-14T11:26:11.561854,completed,12004.24,
TXN634B5941E2,ACC7AB24C73,CUST000001,credit,2113.69,Walmart transaction,Walmart,groceries,2025-09-26T21:13:02.436946,completed,14358.28,
TXNB126E37D29,ACC7AB24C73,CUST000001,credit,2647.93,Delta Airlines transaction,Delta Airlines,online_shopping,2024-09-13T01:29:30.310278,completed,14892.52,
TXN0C688C9CA9,ACC7AB24C73,CUST000001,debit,-4424.52,Target transaction,Target,travel,2025-02-25T02:47:13.324181,completed,7820.07,
TXNC41CC7A175,ACC7AB24C73,CUST000001,debit,-795.0,Amazon transaction,Amazon,travel,2023-08-21T19:49:32.079874,completed,11449.59,
TXN2F955F26A7,ACC7AB24C73,CUST000001,debit,-2505.43,Apple transaction,Apple,entertainment,2024-06-30T15:47:50.998045,failed,9739.16,insufficient_funds
TXN8438104E7D,ACCA0AE476B,CUST000001,credit,4394.22,Target transaction,Target,salary,2024-12-04T22:08:49.735922,completed,19316.46,
TXNE3763E0816,ACCA0AE476B,CUST000001,credit,4735.01,Walmart transaction,Walmart,travel,2023-06-06T10:39:55.428543,completed,19657.25,
TXN8EBA8E1B12,ACCA0AE476B,CUST000001,debit,-3804.21,Apple transaction,Apple,salary,2023-06-02T21:29:05.269669,completed,11118.03,
TXN3EBAED6946,ACCA0AE476B,CUST000001,credit,829.81,Delta Airlines transaction,Delta Airlines,entertainment,2025-03-26T18:18:37.617723,completed,15752.05,
TXN8326C964FD,ACCA0AE476B,CUST000001,debit,-2698.78,Starbucks transaction,Starbucks,travel,2024-08-13T04:19:23.420843,completed,12223.46,
TXN06E5E3FBC5,ACCA0AE476B,CUST000001,credit,3251.14,Airbnb transaction,Airbnb,entertainment,2025-03-28T23:31:22.692797,completed,18173.38,
TXNFCF1381EC2,ACCA0AE476B,CUST000001,debit,-324.81,Amazon transaction,Amazon,entertainment,2024-04-14T03:14:27.532686,completed,14597.43,
TXN7C67D53E5C,ACCA0AE476B,CUST000001,debit,-40.92,Amazon transaction,Amazon,salary,2024-09-30T23:14:42.963259,completed,14881.32,
TXN4F3091F642,ACCA0AE476B,CUST000001,debit,-1655.49,Delta Airlines transaction,Delta Airlines,salary,2024-02-01T09:15:59.546857,completed,13266.75,
TXNF7D1DBE707,ACCA0AE476B,CUST000001,debit,-2698.47,Airbnb transaction,Airbnb,salary,2025-12-28T01:43:17.203999,completed,12223.77,
TXN601145BE57,ACCA0AE476B,CUST000001,credit,956.1,Walmart transaction,Walmart,travel,2023-06-01T11:21:29.720634,completed,15878.34,
TXNFBCB44ABF7,ACCA0AE476B,CUST000001,debit,-2337.79,Amazon transaction,Amazon,travel,2024-06-24T09:35:46.107238,completed,12584.45,
TXN91569F8795,ACCA0AE476B,CUST000001,debit,-307.76,Uber transaction,Uber,online_shopping,2025-04-07T13:57:18.359952,completed,14614.48,
TXN9C3CD9C461,ACCA0AE476B,CUST000001,debit,-2245.82,Netflix transaction,Netflix,salary,2025-07-31T21:47:04.077744,completed,12676.42,
TXN1B34AF7159,ACCA0AE476B,CUST000001,debit,-4616.71,Airbnb transaction,Airbnb,entertainment,2023-06-17T08:40:11.540900,completed,10305.53,
TXN2A841F2DF1,ACCA0AE476B,CUST000001,debit,-2705.24,Amazon transaction,Amazon,online_shopping,2023-06-25T04:19:37.218958,failed,12217.0,insufficient_funds
TXN01F925F0A4,ACCA0AE476B,CUST000001,credit,835.72,Airbnb transaction,Airbnb,groceries,2025-01-15T03:02:46.646461,completed,15757.96,
TXN0E71CB1818,ACCB19D41F0,CUST000001,debit,-4786.8,Delta Airlines transaction,Delta Airlines,travel,2024-02-26T07:41:05.822901,completed,40335.34,
TXN4DCEB63A10,ACCB19D41F0,CUST000001,debit,-1487.06,Amazon transaction,Amazon,entertainment,2024-10-14T11:56:52.430390,completed,43635.08,
TXN6B566AD1F9,ACCB19D41F0,CUST000001,debit,-1571.46,Amazon transaction,Amazon,entertainment,2024-05-27T12:21:03.783533,completed,43550.68,
TXND01AB447BB,ACCB19D41F0,CUST000001,credit,2657.98,Amazon transaction,Amazon,entertainment,2023-10-03T07:09:47.063239,completed,47780.12,
